time,time_sin,time_cos,Occupancy,door_gap,window_gap,humidity,VOC_ppb,temperature_Main,temperature_FRT,temperature_FRM,temperature_FRB,temperature_FMT,temperature_FMM,temperature_FMB,temperature_FLT,temperature_FLM,temperature_FLB,temperature_BRT,temperature_BRM,temperature_BRB,temperature_BMT,temperature_BMM,temperature_BMB,temperature_BLT,temperature_BLM,temperature_BLB,temperature_WRB,temperature_WMB,temperature_WLB,temperature_WLF,temperature_DoorRT,temperature_BTable,temperature_PRUR,temperature_PRUL,temperature_PRDR,temperature_PRDL,temperature_PLDR,temperature_PLDL,temperature_Out,light_BLM,light_BLB,light_WRB,light_WMB,light_WLB,light_WLF,light_DoorRT,light_BTable,light_PRUR,light_PRUL,light_PRDR,light_PRDL,light_PLDR,light_PLDL,light_Out,outdoor_temperature,outdoor_humidity,outdoor_windgust,outdoor_windspeed,outdoor_winddir,outdoor_sealevelpressure,outdoor_dew,outdoor_cloudcover,outdoor_solarradiation,outdoor_solarenergy
2023/7/3 22:58,-0.267238376,0.963630453,0,0,0.9,42,101,22.07,24.15880404,21.4643974,24.02814282,22.69494043,23.07571708,21.487926,21.16530541,21.04525524,21.88034104,23.775436,20.65602881,20.33600263,19.030749,21.43540407,21.86313375,18.496094,11.77356355,20.39603369,19.56266271,19.59895844,19.63904146,20.51587978,23.12899705,21.70756405,21.90449223,22.49235019,20.73561356,22.63828127,21.57498093,22.77435447,21.92539075,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,15.1,62.06,16.2,20.1,249,1011.8,7.9,30.4,1,0
2023/7/3 22:59,-0.263031214,0.964787324,0,0,1.1,42,101,22.07,24.1333986,21.44158391,24.00016267,22.7098958,23.02864595,21.51927087,21.21164764,21.03106395,21.88161051,23.80984392,20.64683964,20.39474828,19.01021631,21.4468749,21.87187507,18.496094,9.421630875,20.35431994,19.5800783,19.55133943,19.5972656,20.57151431,23.13715278,21.68142361,21.9242186,22.4677735,20.70883408,22.63847645,21.57167104,22.80603964,21.93727018,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,15.1,62.06,16.2,20.1,249,1011.8,7.9,30.4,1,0
2023/7/3 23:00,-0.258819045,0.965925826,0,0,1.1,42,101,22.07,24.14622402,21.45633584,24.00057588,22.72170136,23.06093089,21.54178245,21.18016092,21.03245701,21.87680285,23.86976579,20.66800682,20.35818131,19.02073315,21.43046845,21.86484393,18.496094,8.985815438,20.35245285,19.60819144,19.53266379,19.63955071,20.55531886,23.12326389,21.65711806,21.92445009,22.46572128,20.66884505,22.65759156,21.59342595,22.77987621,21.92729392,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:01,-0.254601948,0.967045939,0,0,1.1,42,105,22.08,24.15904944,21.47108778,24.00098909,22.73350692,23.09321583,21.56429403,21.1486742,21.03385006,21.87199518,23.92968767,20.689174,20.32161433,19.03125,21.414062,21.8578128,18.496094,8.55,20.35058575,19.63630458,19.51398814,19.68183583,20.53912341,23.109375,21.6328125,21.92468157,22.46366905,20.62885603,22.67670667,21.61518087,22.75371278,21.91731767,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:02,-0.250380004,0.96814764,0,0,0.68,42,105,22.08,24.17187486,21.48583971,24.00140231,22.74531248,23.12550077,21.58680561,21.11718748,21.03524311,21.86718752,23.88888897,20.69749291,20.35587989,19.03361413,21.40904025,21.85698772,18.496094,7.825757576,20.36067707,19.66441773,19.4953125,19.72412094,20.52292796,23.10860904,21.637601,21.92491306,22.46161683,20.588867,22.69582178,21.63693578,22.72754935,21.87913584,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:03,-0.246153293,0.96923091,0,0,1,42,105,22.08,24.13954741,21.48998415,23.98193356,22.77987135,23.10880329,21.57479748,21.12004196,20.99218741,21.92089853,23.97793497,20.66685267,20.3903646,19.01180004,21.44752951,21.80247961,18.498047,9.742542606,20.41796884,19.56722868,19.48580737,19.74872828,20.52018244,23.08370543,21.6760819,21.87304688,22.49300509,20.55380875,22.682405,21.61917489,22.74034822,21.8902853,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:04,-0.241921896,0.970295726,0,0,1.233333333,42,105,22.08,24.18343744,21.49787943,24.01409646,22.72762795,23.05164918,21.55926717,21.07477681,20.98116643,21.93366888,23.98361276,20.64351558,20.41494153,19.02511177,21.45951714,21.82366057,18.496094,13.38525392,20.40722667,19.56425107,19.49600074,19.75948669,20.5200194,23.0395389,21.70324327,21.98319414,22.48982748,20.52829634,22.62481828,21.60888668,22.6995607,21.87625006,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:05,-0.237685892,0.97134207,0,0,1.2,42,105,22.08,24.13958323,21.49494478,24.00156243,22.72311571,23.03117761,21.59510861,21.10621988,21.04734002,21.94598844,23.95796133,20.65874998,20.40332023,19.03985982,21.45847054,21.84925874,18.496094,11.90449897,20.37823031,19.62648819,19.49169906,19.76972188,20.56267367,23.00365416,21.72296466,21.99455184,22.5036458,20.51752231,22.61499021,21.56963315,22.71539395,21.89921897,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:06,-0.233445364,0.97236992,0,0,0.833333333,42,116,22.08,24.12555802,21.5190806,24.02218746,22.66357429,23.04461824,21.5771874,21.09765617,21.0139758,22.02643528,23.96093741,20.65747069,20.40395212,19.02784469,21.48430128,21.84585331,18.496094,11.33333333,20.32785072,19.63715272,19.55224613,19.74847143,20.59706165,22.98097824,21.75803563,21.87927824,22.50053264,20.51335395,22.63388665,21.53142757,22.73637815,21.87300523,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:07,-0.229200391,0.973379258,0,0,1.3,42,116,22.08,24.174782,21.50297213,24.01637612,22.6868207,23.08636365,21.65767036,21.1003906,21.0458757,21.97671271,23.88118483,20.66899655,20.39843725,18.99638678,21.47530964,21.82524663,18.496094,10.47120537,20.36484391,19.58519338,19.56112754,19.6957562,20.60946184,22.99526506,21.69824228,21.89949538,22.48902928,20.5708984,22.6826823,21.55137085,22.73547312,21.8718927,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
